"","Year","Country","Number of Significant Volcanic Eruptions","Number of Significant Earthquakes"
"165",1990,"Saudi Arabia",0,0
"166",1990,"Solomon Islands",0,0
"167",1990,"Spain",0,0
"168",1990,"Taiwan",0,2
"169",1990,"Tanzania",0,0
"170",1990,"Tonga",0,0
"171",1990,"Trinidad and Tobago",0,0
"172",1990,"Turkey",0,1
"173",1990,"United States",0,1
"174",1990,"Vanuatu",0,1
"175",1990,"World",10,51
"176",1990,"Yemen",0,0
"177",1991,"Antarctica",0,0
"178",1991,"Cameroon",0,0
"179",1991,"Canada",0,0
"180",1991,"Chile",1,0
"181",1991,"China",0,2
"182",1991,"Colombia",0,1
"183",1991,"Costa Rica",0,2
"184",1991,"Ecuador",0,0
"185",1991,"El Salvador",0,0
"186",1991,"Eritrea",0,0
"187",1991,"Ethiopia",0,0
"188",1991,"Greece",0,0
"189",1991,"Guadeloupe",0,0
"190",1991,"Guatemala",0,1
"191",1991,"Iceland",0,0
"192",1991,"Indonesia",1,2
"193",1991,"Italy",1,0
"194",1991,"Japan",1,0
"195",1991,"Martinique",0,0
"196",1991,"Mexico",0,0
"197",1991,"Montserrat",0,0
"198",1991,"New Zealand",0,1
"199",1991,"Nicaragua",0,0
"200",1991,"North Korea",0,0
"201",1991,"Pacific Ocean",0,0
"202",1991,"Papua New Guinea",0,0
"203",1991,"Peru",0,3
"204",1991,"Philippines",1,1
"205",1991,"Portugal",0,0
"206",1991,"Russia",1,2
"207",1991,"Saint Vincent and the Grenadines",0,0
"208",1991,"Samoa",0,0
"209",1991,"Saudi Arabia",0,0
"210",1991,"Solomon Islands",0,2
"211",1991,"Spain",0,0
"212",1991,"Taiwan",0,0
"213",1991,"Tanzania",0,0
"214",1991,"Tonga",0,0
"215",1991,"Trinidad and Tobago",0,0
"216",1991,"Turkey",0,2
"217",1991,"United States",0,2
"218",1991,"Vanuatu",0,0
"219",1991,"World",7,42
"220",1991,"Yemen",0,1
"221",1992,"Antarctica",0,0
"222",1992,"Cameroon",0,0
"223",1992,"Canada",0,0
"224",1992,"Chile",0,0
"225",1992,"China",0,1
"226",1992,"Colombia",0,2
"227",1992,"Costa Rica",0,0
"228",1992,"Ecuador",0,0
"229",1992,"El Salvador",0,0
"230",1992,"Eritrea",0,0
"231",1992,"Ethiopia",0,0
"232",1992,"Greece",0,0
"233",1992,"Guadeloupe",0,0
"234",1992,"Guatemala",0,0
"235",1992,"Iceland",0,0
"236",1992,"Indonesia",5,2
"237",1992,"Italy",0,0
"238",1992,"Japan",0,3
"239",1992,"Martinique",0,0
"240",1992,"Mexico",0,0
"241",1992,"Montserrat",0,0
"242",1992,"New Zealand",0,0
"243",1992,"Nicaragua",1,1
"244",1992,"North Korea",0,0
"245",1992,"Pacific Ocean",0,0
"246",1992,"Papua New Guinea",0,0
"247",1992,"Peru",0,0
"248",1992,"Philippines",1,1
"249",1992,"Portugal",0,0
"250",1992,"Russia",0,0
"251",1992,"Saint Vincent and the Grenadines",0,0
"252",1992,"Samoa",0,0
"253",1992,"Saudi Arabia",0,0
"254",1992,"Solomon Islands",0,1
"255",1992,"Spain",0,0
"256",1992,"Taiwan",0,0
"257",1992,"Tanzania",0,0
"258",1992,"Tonga",0,0
"259",1992,"Trinidad and Tobago",0,0
"260",1992,"Turkey",0,1
"261",1992,"United States",1,5
"262",1992,"Vanuatu",0,0
"263",1992,"World",8,27
"264",1992,"Yemen",0,0
"265",1993,"Antarctica",0,0
"266",1993,"Cameroon",0,0
"267",1993,"Canada",0,0
"268",1993,"Chile",0,0
"269",1993,"China",0,3
"270",1993,"Colombia",1,0
"271",1993,"Costa Rica",0,1
"272",1993,"Ecuador",1,0
"273",1993,"El Salvador",0,0
"274",1993,"Eritrea",0,0
"275",1993,"Ethiopia",0,0
